prediction_set,video_name,annotated_events,matched_events,recall_at_threshold,mean_best_similarity
event_only_prompt1,video_21,13,1,0.07692307692307693,0.2706365092442586
event_only_prompt1,video_22,8,3,0.375,0.3641679007560015
event_only_prompt1,video_23,9,1,0.1111111111111111,0.2521581757399771
event_only_prompt1,video_24,8,3,0.375,0.3248891457915306
event_only_prompt2,video_21,13,2,0.15384615384615385,0.3161720656431638
event_only_prompt2,video_22,8,0,0.0,0.2564308661967516
event_only_prompt2,video_23,9,1,0.1111111111111111,0.3184272415108151
event_only_prompt2,video_24,8,4,0.5,0.3950709458440542
timestamp_prompt1,video_21,13,1,0.07692307692307693,0.28753451429880583
timestamp_prompt1,video_22,8,5,0.625,0.37228099070489407
timestamp_prompt1,video_23,9,4,0.4444444444444444,0.3835960974295934
timestamp_prompt1,video_24,8,7,0.875,0.48535730317234993
timestamp_prompt2,video_21,13,3,0.23076923076923078,0.273549731534261
timestamp_prompt2,video_22,8,5,0.625,0.3783502783626318
timestamp_prompt2,video_23,9,5,0.5555555555555556,0.4183073507414924
timestamp_prompt2,video_24,8,6,0.75,0.4289928190410137
