threshold,prediction_set,prediction_type,prompt_id,matched_events,recall_at_threshold
0.35,event_only_prompt1,event_only,prompt1,13,0.34210526315789475
0.35,event_only_prompt2,event_only,prompt2,14,0.3684210526315789
0.35,timestamp_prompt1,timestamp,prompt1,21,0.5526315789473685
0.35,timestamp_prompt2,timestamp,prompt2,21,0.5526315789473685
0.4,event_only_prompt1,event_only,prompt1,8,0.21052631578947367
0.4,event_only_prompt2,event_only,prompt2,7,0.18421052631578946
0.4,timestamp_prompt1,timestamp,prompt1,17,0.4473684210526316
0.4,timestamp_prompt2,timestamp,prompt2,19,0.5
0.45,event_only_prompt1,event_only,prompt1,4,0.10526315789473684
0.45,event_only_prompt2,event_only,prompt2,5,0.13157894736842105
0.45,timestamp_prompt1,timestamp,prompt1,12,0.3157894736842105
0.45,timestamp_prompt2,timestamp,prompt2,9,0.23684210526315788
0.5,event_only_prompt1,event_only,prompt1,3,0.07894736842105263
0.5,event_only_prompt2,event_only,prompt2,2,0.05263157894736842
0.5,timestamp_prompt1,timestamp,prompt1,5,0.13157894736842105
0.5,timestamp_prompt2,timestamp,prompt2,3,0.07894736842105263
0.55,event_only_prompt1,event_only,prompt1,0,0.0
0.55,event_only_prompt2,event_only,prompt2,1,0.02631578947368421
0.55,timestamp_prompt1,timestamp,prompt1,3,0.07894736842105263
0.55,timestamp_prompt2,timestamp,prompt2,1,0.02631578947368421
0.6,event_only_prompt1,event_only,prompt1,0,0.0
0.6,event_only_prompt2,event_only,prompt2,1,0.02631578947368421
0.6,timestamp_prompt1,timestamp,prompt1,1,0.02631578947368421
0.6,timestamp_prompt2,timestamp,prompt2,0,0.0
